workload,cycles,cache-misses,instructions,stalled-cycles-backend,branch-misses,context-switches,iTLB-load-misses,IpNReturn,IpMispredict,BpTkBranch
500.perlbench_r,8028421320,34676176,17425802999,2212562039,27662841,204,23689,98.04,630.04,2.03
500.perlbench_r,16087947993,74224914,36278186263,4492444234,61126746,408,43264,108.63,594.33,2.06
500.perlbench_r,24162112688,113822120,55101104017,6774157036,94435057,611,63211,112.39,583.75,2.07
500.perlbench_r,32236497230,153887810,73831200642,9065279787,127814719,811,83729,114.3,578.29,2.08
500.perlbench_r,40311057083,189852029,93027475737,11315314195,160465979,1009,102081,115.5,580.23,2.08
500.perlbench_r,48386215315,229231270,111924251774,13594399538,193386761,1211,121221,116.23,579.08,2.08
500.perlbench_r,56460102650,269632624,130530134943,15901398352,226478616,1415,140525,116.68,576.63,2.08
500.perlbench_r,64534271885,308689429,149453945551,18190295955,259427249,1626,160702,117.24,576.47,2.08
500.perlbench_r,72607895015,350707544,167931879425,20490507614,292449750,1835,183652,117.43,574.75,2.09
500.perlbench_r,80682778724,389957618,186671984914,22799081464,325406098,2037,203442,117.67,574.2,2.09
500.perlbench_r,88672072006,433280314,204896771598,25132993489,358399636,2238,225501,117.73,572.07,2.09
500.perlbench_r,96707223060,471129467,223891445764,27437481017,391519607,2439,243573,118.08,572.12,2.09
500.perlbench_r,104781240379,508779512,242838620649,29749010877,424928664,2643,262519,118.39,571.76,2.09
500.perlbench_r,112840671885,549057678,261532731878,32065662384,458197276,2845,282373,118.53,571.1,2.09
500.perlbench_r,120861239831,589292068,279939518825,34333995578,490991908,3048,304107,118.61,570.61,2.09
500.perlbench_r,128908367312,629364525,298580910488,36596413509,524199019,3249,323539,118.64,569.88,2.09
500.perlbench_r,136973672534,666673261,317915435758,38821987350,556788115,3452,341118,118.8,571.33,2.09
500.perlbench_r,145048360910,709093371,336471128144,41099745437,589714962,3651,362103,118.78,570.88,2.09
500.perlbench_r,153101694701,746937551,355442782142,43383874409,623562661,3857,382728,118.96,570.39,2.09
500.perlbench_r,161176784794,777652563,375801010833,45576416912,656551382,4056,398103,119.39,573.02,2.09
500.perlbench_r,169239785194,817946348,394471668386,47875091006,690014209,4264,421358,119.4,572.05,2.09
500.perlbench_r,177312656985,857787493,413271756538,50160849474,723434371,4463,441912,119.47,571.72,2.09
500.perlbench_r,185365082826,896809887,432066189222,52423390890,756816164,4663,462901,119.53,571.37,2.09
500.perlbench_r,193418106066,934656601,451108294904,54681810063,790204848,4865,483115,119.55,571.28,2.09
500.perlbench_r,201484000018,977675438,469319873664,57033119086,823446292,5071,505363,119.52,570.33,2.09
500.perlbench_r,209556525909,1019765994,487715619094,59322354643,856589603,5276,526895,119.48,569.87,2.09
500.perlbench_r,217624217814,1055169707,507026570352,61586763037,890032855,5474,545499,119.55,570.11,2.09
500.perlbench_r,225688109716,1097546947,525517330768,63873981772,922770243,5673,568255,119.52,570.01,2.09
500.perlbench_r,233722677659,1139088122,543869937997,66210127389,955891766,5872,590735,119.49,569.35,2.09
500.perlbench_r,241771111947,1180230001,562402474369,68474743678,988493790,6072,610686,119.46,569.4,2.09
500.perlbench_r,249803035808,1219742844,581146942844,70773029160,1021492480,6277,630393,119.49,569.4,2.09
500.perlbench_r,257876882792,1259253794,599765618359,73137046377,1054446211,6482,649377,119.53,569.2,2.09
500.perlbench_r,265950769244,1302928038,618079288343,75414852348,1087733801,6683,672225,119.48,568.66,2.09
500.perlbench_r,274024245913,1345689872,636273155668,77748249743,1120607306,6885,693609,119.43,568.22,2.09
500.perlbench_r,282098271720,1387875264,654767686760,79988798460,1153259447,7086,714182,119.34,568.19,2.09
500.perlbench_r,290146279727,1423722772,674157520493,82208403603,1186344212,7288,731486,119.38,568.69,2.09
500.perlbench_r,298219792966,1464112454,692729767631,84529136578,1219654759,7490,751856,119.38,568.36,2.09
500.perlbench_r,306231934867,1501549315,711413835718,86802243311,1252914807,7700,774443,119.44,568.18,2.09
500.perlbench_r,314299794054,1542491876,729960300852,89137617979,1285486998,7908,795599,119.46,568.27,2.09
500.perlbench_r,322346876522,1582014259,748694720467,91445438847,1318518159,8113,815735,119.49,568.27,2.09
500.perlbench_r,330420640832,1623432126,767197691183,93754190906,1351731604,8312,836820,119.49,568,2.09
500.perlbench_r,338494238114,1662632197,785955246714,96088918598,1384960942,8512,856739,119.54,567.92,2.09
500.perlbench_r,346505865177,1699898848,804887957981,98341784999,1417755482,8714,876508,119.6,568.22,2.09
500.perlbench_r,354558182927,1735677246,823983486583,100555405554,1451605527,8918,896430,119.66,568.05,2.09
500.perlbench_r,362606281797,1775897543,842310986964,102902025748,1484373073,9114,916730,119.66,567.85,2.09
500.perlbench_r,370575645177,1819390386,860544589933,105221657855,1517847073,9316,940939,119.63,567.36,2.09
500.perlbench_r,378595332626,1859294244,879150462076,107549147831,1551106710,9522,960959,119.66,567.18,2.09
500.perlbench_r,386640270229,1897991832,897992742184,109874245199,1584176243,9723,980155,119.7,567.25,2.09
500.perlbench_r,394714134531,1939431753,916592828732,112158838701,1616524051,9926,1000081,119.67,567.39,2.09
500.perlbench_r,402744909364,1980947799,935035860851,114499493312,1649249335,10130,1019581,119.67,567.33,2.09
500.perlbench_r,410767635437,2014106126,954664297803,116704442196,1682365373,10328,1035426,119.71,567.78,2.09
500.perlbench_r,418842439447,2052502514,973786527263,119012059682,1714815782,10530,1053517,119.73,568.3,2.09
500.perlbench_r,426878286290,2094329462,992174686982,121357147709,1747897925,10733,1074274,119.72,568.01,2.09
500.perlbench_r,434898700976,2130461330,1011401689312,123627981195,1781685862,10930,1091950,119.77,568.05,2.09
