workload,cycles,cache-misses,instructions,cycle_activity.stalls_total,branch-misses,context-switches,iTLB-load-misses,IpCall,IpLoad,IpMispredict,BpTkBranch,MLP
500.perlbench_r,7246191377,10645309,22092316776,1313054657,36135882,306,352658,105.78,3.51,617.6,2.98,1.46
500.perlbench_r,16405069846,20244226,49787637310,2840872599,86022154,340,663533,117.96,3.49,579.77,2.99,1.38
500.perlbench_r,25569073110,28813861,77696298459,4319973477,136817897,352,958335,121.13,3.48,568.76,2.99,1.36
500.perlbench_r,34741251043,37156752,106044237557,5759503238,185989303,365,1258590,122.42,3.48,570.36,2.99,1.35
500.perlbench_r,43884590272,45393114,134089403728,7224161582,236570854,368,1567396,123.27,3.48,568.24,2.99,1.35
500.perlbench_r,53039902735,53863442,161880116146,8720775675,287236030,374,1885860,123.77,3.47,565.54,2.99,1.35
500.perlbench_r,62186513428,63158489,189587624267,10233407257,337425876,387,2203649,124,3.47,563.27,2.99,1.34
500.perlbench_r,71346203612,71543032,217515687926,11720884308,388722050,392,2495138,124.41,3.47,561.46,2.99,1.34
500.perlbench_r,80494103360,79711947,245680737669,13175442157,439246854,399,2759889,124.85,3.47,560.94,2.99,1.34
500.perlbench_r,89636989896,87982662,273483033206,14660782621,490183455,413,3069641,124.83,3.47,559.19,2.99,1.34
500.perlbench_r,98781027094,96101557,301859951046,16081578328,538953213,425,3337926,125.13,3.47,561.67,2.99,1.34
500.perlbench_r,107946744540,104623855,329735640716,17562417387,590481433,433,3636467,125.31,3.47,560.58,2.99,1.34
500.perlbench_r,117115205017,111979200,358703113199,18916165601,640232439,439,3882844,125.92,3.47,562.3,2.99,1.34
500.perlbench_r,126283008720,120760210,386300312476,20436769431,691468905,452,4215847,125.88,3.47,560.7,2.99,1.34
500.perlbench_r,135447992508,129117850,414185605157,21917350241,742562244,459,4520806,125.98,3.47,559.91,2.99,1.34
500.perlbench_r,144613925945,137819523,441925518753,23423050406,793820256,469,4832174,125.95,3.47,558.63,2.99,1.34
500.perlbench_r,153783338172,146246539,469886276953,24900500897,844613586,479,5136051,125.98,3.47,558.36,2.99,1.34
500.perlbench_r,162951520343,154569693,497791407288,26377143643,895052612,486,5448656,125.92,3.47,558.25,2.99,1.34
500.perlbench_r,172116217452,163486634,525430183794,27887160997,945450340,495,5736901,125.89,3.47,557.97,2.99,1.34
500.perlbench_r,181273198202,172435236,553137017695,29394923699,995942797,509,6055063,125.95,3.47,557.4,2.99,1.33
500.perlbench_r,190437463612,181828991,580476422496,30945528882,1046487396,519,6381118,125.86,3.47,556.71,2.99,1.33
500.perlbench_r,199602313613,190886000,607913263219,32484366413,1096838655,529,6721330,125.74,3.47,556.43,2.99,1.33
500.perlbench_r,208773037946,199038117,635992398867,33923650768,1147031529,539,7006752,125.75,3.47,556.69,2.99,1.33
500.perlbench_r,217941212388,207450937,663988542524,35392755011,1198576368,547,7291750,125.8,3.47,556.01,2.99,1.33
500.perlbench_r,227111596706,215957194,691984271039,36870981180,1249211704,553,7581410,125.86,3.47,556.17,2.99,1.33
500.perlbench_r,236225507914,228354009,718784703521,38565141595,1298045885,572,7914345,125.88,3.47,555.81,2.99,1.33
500.perlbench_r,245397524806,236197131,746957659343,40013535511,1348943373,594,8219547,125.94,3.47,555.41,2.99,1.33
500.perlbench_r,254569628775,244292297,775143459435,41465977512,1400178428,604,8512128,126.06,3.47,555.43,2.99,1.33
500.perlbench_r,263740347089,252791013,802777184729,42979368810,1452028516,613,8843444,126.02,3.47,554.89,2.99,1.33
500.perlbench_r,272906192428,261551098,830687578508,44477438560,1503190414,626,9156463,126.1,3.47,554.76,2.99,1.33
500.perlbench_r,282071740901,270209456,858561700683,45964336087,1553532660,639,9475336,126.07,3.47,555,2.99,1.33
500.perlbench_r,291207302615,278363326,886840393158,47398487736,1603739599,651,9747614,126.13,3.47,555.44,2.99,1.34
500.perlbench_r,300374758420,286819138,914991761167,48855836803,1653635119,659,10045245,126.12,3.47,555.9,2.99,1.34
500.perlbench_r,309541378883,295589274,942715759947,50365715043,1705221796,665,10375719,126.15,3.47,555.64,2.99,1.34
