workload,run-time,cache-misses,instructions,branches,branch-misses,ref-cycles,cycles,faults,bus-cycles,cache-references,context-switches,cpu-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,itlb_misses.stlb_hit,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,mem-stores,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,l2_rqsts.all_demand_miss,l2_rqsts.all_demand_references,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_trans.l2_wb,l2_rqsts.miss,l2_rqsts.references,cycle_activity.cycles_mem_any,cycle_activity.stalls_mem_any,cycle_activity.stalls_total,uops_executed.stall_cycles,uops_issued.stall_cycles,uops_retired.stall_cycles,dtlb_load_misses.stlb_hit,dtlb_store_misses.stlb_hit,inst_retired.any,br_misp_retired.all_branches,br_inst_retired.all_branches,br_inst_retired.near_taken,br_inst_retired.near_call,mem_inst_retired.all_loads,mem_inst_retired.all_stores,l1d.replacement,l2_lines_in.all,longest_lat_cache.miss,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,uops_executed.thread,uops_executed.core_cycles_ge_1,cpu_clk_unhalted.ref_tsc,msr/tsc/,IpMispredict,BpTkBranch,IpBranch,IpCall,IpTB,IpLoad,IpStore,L1D_Cache_Fill_BW,L2_Cache_Fill_BW,L3_Cache_Fill_BW,CPI,MLP,ILP,CPU_Utilization
500.perlbench_r,2,22252122,17848747623,3305557928,31342902,5583707125,7798519931,46677,44669812,143665168,109,1880,81986380,4909191744,1649042918,78967344,1481396,8697014,547961,3856221,5999712,19739823,2232763709,1998525534,669787,3442217118,333402,2088413001,233348,583173,29845203,137380851,14854537,9181630,10890077,60524257,194746443,4851723467,950362458,1551931761,1552012960,2139345805,3064624555,101807698,22435977,16506192225,28927777,3057810103,1510875036,170212363,4541202175,2800257262,74559090,76573784,18629841,1140767248,825994818,17792148201,5523629299,4668828875,4718376788,570.6,2.02,5.4,96.97,10.92,3.63,5.89,2.38,2.45,0.6,0.47,1.38,6.44,0.99
500.perlbench_r,4,43709944,39026539860,7174359822,73051084,11559615875,16341858764,46798,92477114,294049750,148,3891,150810883,10698044767,5325151526,164367059,4239105,25706650,1140631,4053258,8218487,63272992,6254557416,5934301248,1951174,9412455565,467647,5994315575,353723,1217336,69536167,277193661,36516020,25516528,25468498,150546502,414693403,12939383664,1789857236,2936476183,2936643657,3913242546,5964210216,180678513,40088457,38256237796,71415814,7031069207,3420588329,350639754,10485455855,6687549161,143203067,164622316,37168565,2254852287,1691818288,43534001993,12857146924,10615801750,10722650158,535.68,2.06,5.44,109.1,11.18,3.65,5.72,2.29,2.63,0.59,0.43,1.33,6.77,0.99
500.perlbench_r,6,66635705,60106115818,11017272469,114169765,17503113625,24837930568,46954,140025090,435107640,208,5890,214247524,16451350408,8967396511,248426068,7158797,42152652,1718139,4268688,10456493,106230055,10232235744,9826402139,3235833,15329782281,609809,9860187439,477728,1859709,110275549,421306664,58326778,41959756,40166024,241007791,640428674,20940773728,2666056972,4363322364,4363574207,5732356249,8911325839,261127539,58533124,59734942465,113384235,10950487900,5303977285,528554047,16352331766,10529721112,212153811,252480990,59960840,3536064457,2671251071,68748838086,20054020768,16558877625,16726616019,526.84,2.06,5.46,113.02,11.26,3.65,5.67,2.26,2.69,0.64,0.42,1.32,6.86,0.99
500.perlbench_r,8,89224958,81130393027,14852875869,155619748,23435860500,33318284234,47016,187487058,575638143,251,7889,278030023,22195455516,12549161848,335897980,10320120,59633413,2318952,4554010,12678827,148701503,14175781315,13689467264,4520549,21287137093,758729,13760428294,598704,2473141,148747583,558474360,79360281,57793880,54888184,328184308,855549198,28937423478,3535824315,5781209877,5781549442,7545894200,11852541197,347924945,78271991,81412365917,156014199,14906136179,7204683963,708211235,22275955877,14410006439,278922072,338745019,80125112,4676881140,3554822147,94420857633,27363098732,22518550750,22731679127,521.83,2.07,5.46,114.95,11.3,3.65,5.65,2.22,2.7,0.64,0.41,1.32,6.9,0.99
500.perlbench_r,10,112630468,102094289809,18710146889,195925321,29374133000,41807570879,47147,234993244,724640570,302,9888,346942163,27948637777,16271000350,413624141,12832312,74934539,2850012,4797336,14984758,190650677,18191918678,17558534520,5824219,27247809210,915628,17607302503,725705,3124796,189208937,700569502,100568759,73966570,69678506,416770666,1077656538,36943018760,4382969389,7161743422,7162156479,9323768289,14743040065,429549348,96427005,102878376674,197255692,18854117690,9112646925,889217311,28164983076,18213671256,350002437,427759777,100596559,5866164428,4475974592,119866838536,34651669962,28460968750,28736993810,521.55,2.07,5.46,115.7,11.29,3.65,5.65,2.23,2.73,0.64,0.41,1.31,6.92,0.99
500.perlbench_r,12,137054714,122877355700,22513635281,236047983,35303056375,50263165860,47204,282424630,871030703,350,11887,414832181,33634503731,19934938508,499633707,15590662,92114340,3445847,5067851,17103922,231879640,22173337088,21459527390,6974747,33223204448,1051200,21521021997,830981,3739596,226169896,837057376,120443034,89252243,83736460,500330244,1290602242,44954580438,5291659613,8622003657,8622502304,11179037355,17722242918,510949481,115276537,124356929136,238749598,22785954883,11004848597,1068557450,34042457969,22043502143,421930609,518509832,120503590,7053576533,5396350961,145383137168,41945856326,34408920750,34741739731,520.87,2.07,5.46,116.38,11.3,3.65,5.64,2.25,2.76,0.64,0.4,1.31,6.93,0.99
500.perlbench_r,14,160021514,144004315908,26367289340,277805485,41246471750,58760992770,47256,329971964,1015743586,381,13887,478416206,39401467774,23561243103,590572939,18366648,110078773,4074432,5296371,19323240,275086852,26138256263,25339385617,8386049,39135682881,1218392,25386125386,963656,4359937,266519958,974578810,141956487,105748226,99196384,590321127,1507371021,52954478095,6191601153,10063679540,10064273457,13011563946,20668262759,589105794,133112515,146206818290,281564438,26766058025,12914071041,1247887548,40000599628,25957382035,485645377,603387292,141336770,8175324756,6265806770,171067194886,49245040139,40356349125,40747261880,519.27,2.07,5.46,117.16,11.32,3.66,5.63,2.22,2.75,0.64,0.4,1.3,6.95,0.99
500.perlbench_r,16,185187467,164668203341,30158469482,318885011,47187739625,67245112333,47318,377502151,1172913395,408,15887,549924420,45064908167,27270174199,668396876,21098994,125836464,4613105,5594732,21712888,317409990,30041566265,29126423862,9800739,45013194422,1383385,29202616602,1099050,5067414,309373160,1123508138,164918015,123071431,115458149,685167762,1740312213,60948824537,7105480551,11541536366,11542208384,14890521599,23675943468,671234385,152336580,167637562903,324144888,30700648180,14811750749,1429158880,45876963716,29766710000,560065850,698614589,165740277,9557534149,7322836127,195913430553,56388151581,46300313625,46752145564,517.17,2.07,5.46,117.3,11.32,3.65,5.63,2.24,2.79,0.66,0.4,1.31,6.95,0.99
500.perlbench_r,18,207542208,185819849429,34026145967,360172994,53136021250,75750076216,47422,425088404,1317719203,435,17887,615434631,50853862808,30816014752,757773724,24312530,143795894,5230361,5885930,23902904,359425294,33976222948,32966842152,11106279,50984817048,1541943,33097431085,1223878,5660633,348402412,1261776568,185788412,139087500,130226875,772889286,1957425428,68954859105,7992404684,12977914081,12978675151,16727143762,26637068771,755161516,172305548,189157440820,366637814,34640817083,16708399875,1609624080,51773209678,33604589331,630486027,789363743,186842628,10751246123,8248625748,221317377401,63661743206,52251513750,52757670418,515.92,2.07,5.46,117.52,11.32,3.65,5.63,2.24,2.8,0.66,0.4,1.3,6.95,0.99
500.perlbench_r,20,231758291,206628083961,37834066252,402280176,59077822250,84245574958,47479,472622807,1473115311,463,19887,683533980,56547921942,34462762588,843614495,27082979,160796688,5813387,6131154,26213327,402656649,37919678862,36806838068,12548643,56876762021,1720052,36934307865,1358859,6304900,389806729,1406397774,208159140,156281495,146153279,866877955,2185576217,76946198727,8911517896,14454054046,14454903049,18606798379,29640014252,841137323,192751054,210587862423,409105203,38564959550,18598273157,1789300884,57640527849,37423099133,702506888,881880532,208228461,11964740988,9189357368,246686581565,70929130872,58203945625,58762764781,514.75,2.07,5.46,117.69,11.32,3.65,5.63,2.24,2.82,0.67,0.4,1.3,6.96,0.99
500.perlbench_r,22,255854018,227585682972,41660276108,443642162,65004963875,92719257995,47525,520039948,1619357647,490,21886,747280164,62270233934,38064174731,933498249,30000384,179001416,6438246,6375028,28492085,445826304,41881024347,40681485879,13981091,62773018823,1905105,40791674179,1492650,6900288,429814048,1541478412,229450566,172721285,161413675,956462711,2399174204,84949416021,9773334291,15864195271,15865135144,20386675409,32545537654,909746030,209400114,232346545625,451932309,42522916840,20494532087,1966772555,63565001702,41322878901,761385256,962964862,232008542,13156504015,10100487668,272089061404,78133684033,64146766250,64768269878,514.12,2.07,5.46,118.14,11.34,3.66,5.62,2.21,2.8,0.67,0.4,1.3,6.96,0.99
500.perlbench_r,24,277726353,248890005373,45548605126,485526389,70978368375,101260791970,47591,567827216,1766399944,510,23887,811917360,68085069425,41807094625,1002747009,32714364,193557618,6890939,6670723,30753240,488431903,45827252475,44543588511,15341315,68721295609,2074526,44686656365,1617305,7498199,468562351,1677694703,250671030,189047891,176522623,1045839132,2614609226,92949993741,10640048100,17277027156,17278054057,22186539756,35466036071,986484858,227425919,253392890044,493607929,46369581554,22343761097,2141615155,69316594879,45079931720,828021861,1049837509,255439064,14436499202,11077921870,297311963278,85325086544,70087513500,70773211286,513.35,2.08,5.46,118.32,11.34,3.66,5.62,2.2,2.79,0.68,0.4,1.3,6.97,0.99
500.perlbench_r,26,307966742,268712037127,49180726581,524965202,76856895875,109622468801,47673,614855417,1918851858,789,25877,880319940,73516592816,45448418293,1087400695,35574476,210666479,7470865,6932001,33032073,530959430,49829629391,48461438324,16630165,74580281961,2236530,48519148640,1735675,8132320,507133290,1817514977,271547858,205194050,191100181,1133930966,2833710081,100955289377,11549635056,18740885476,18742002864,24053014176,38457946736,1072494206,247211939,274741168449,535311127,50269566653,24218966594,2319180121,75151992095,48896426503,898034999,1139301473,276217630,15625418599,11998984504,322785638057,92599371180,76035073125,76778989500,513.24,2.08,5.47,118.46,11.34,3.66,5.62,2.21,2.8,0.68,0.4,1.3,6.97,0.99
