workload,cycles,cache-misses,instructions,cycle_activity.stalls_total,branch-misses,context-switches,iTLB-load-misses,IpCall,IpLoad,IpMispredict,BpTkBranch,MLP
execl,2039935440,1160946,2187009485,1225685907,8629186,234,903529,38.51,3.67,246.16,1.84,1.43
execl,6214510910,2735088,5148335387,2882208686,20284182,334,2102278,38.45,3.67,247.46,1.84,1.43
execl,10249061897,4069203,8706280462,4876587736,34304078,441,3644801,38.45,3.67,247.88,1.84,1.43
execl,14486897694,5356978,12311021012,6854531266,48518952,498,5136785,38.46,3.67,248.56,1.84,1.43
execl,18747079321,7060151,15892989007,8834879630,62650994,894,6586551,38.52,3.67,248.83,1.84,1.43
execl,23022856736,8288628,19511317474,10821505696,76855841,965,8093451,38.55,3.67,248.99,1.84,1.43
execl,27051217625,9541352,22694488404,12584973406,89335474,1072,9413161,38.58,3.67,248.91,1.84,1.43
execl,31316282749,11335106,26265465502,14561372085,103371935,1454,10885644,38.6,3.67,248.96,1.84,1.43
execl,35592022281,12786471,29852913904,16545677609,117489917,1530,12336989,38.62,3.67,248.89,1.84,1.43
execl,39531226421,14283253,32865162495,18222549575,129414289,1759,13578417,38.63,3.67,248.94,1.84,1.43
execl,43807679512,15537278,36477514421,20206142717,143589752,1828,15222691,38.63,3.67,248.96,1.84,1.43
execl,47594786943,17215488,40038651812,22176245535,157533943,1876,16738080,38.64,3.67,248.89,1.84,1.43
execl,51796682410,19360760,43465577685,24135023051,171078180,2121,18204920,38.65,3.68,248.83,1.84,1.43
execl,56025324326,22544501,46879004855,26143697324,184481508,2197,19616625,38.65,3.68,248.76,1.84,1.43
execl,60280191759,24194311,50436683044,28131327189,198454996,2292,21206423,38.66,3.68,248.87,1.84,1.43
execl,64296638340,25589414,53610108784,29873328565,210805294,2358,22514377,38.66,3.68,248.98,1.84,1.43
execl,68541085542,27055246,57163735654,31843157118,224772837,2460,23912799,38.66,3.68,248.93,1.84,1.43
execl,72614841422,28426512,60422993189,33646925134,237454508,2541,25290782,38.67,3.68,248.86,1.84,1.43
execl,76320569103,29831855,63048546399,35105708129,247752764,2598,26414723,38.67,3.68,248.86,1.84,1.43
execl,80098156481,31013953,65789004569,36626844520,258575285,2660,27566439,38.67,3.68,248.95,1.84,1.43
execl,84359538225,32291812,69345719848,38626666726,272544458,2727,29125364,38.68,3.68,249.01,1.84,1.43
execl,87905115095,33196390,71677669717,39939141646,281730228,2842,30105900,38.68,3.68,249.12,1.84,1.43
execl,91311998286,34274152,73790490163,41123395687,290093151,2879,30991318,38.68,3.68,249.18,1.84,1.43
execl,95579343803,35643346,77350470336,43118357515,304050539,2971,32458254,38.68,3.68,249.14,1.84,1.43
execl,99405331576,36830625,80158504398,44695391341,315130430,3098,33688238,38.69,3.68,249.12,1.84,1.43
execl,103674298734,38408126,83747212678,46699956348,329188557,3185,35198555,38.69,3.68,249.12,1.84,1.43
execl,107937036339,39833385,87328270723,48690703601,343207714,3270,36705462,38.69,3.68,249.16,1.84,1.43
execl,111376867515,40779586,89723285080,50024755025,352604301,3354,37738913,38.69,3.68,249.18,1.84,1.43
execl,116718808453,42551238,95203567681,53003027471,374189315,3488,39972211,38.69,3.68,249.27,1.84,1.43
execl,119698519855,43255114,96631311371,53782851311,379809357,3568,40542488,38.68,3.68,249.26,1.84,1.43
execl,123388028848,44343019,99269911804,55221199091,390156848,3680,41640595,38.69,3.68,249.25,1.84,1.43
execl,127672412102,45594005,102900955755,57211908515,404293684,3733,43119368,38.69,3.68,249.32,1.84,1.43
execl,131413851378,46947457,105626531621,58697062994,414957801,3831,44217608,38.69,3.68,249.38,1.84,1.43
execl,135670417027,48267686,109237625836,60661807429,429097989,3914,45698306,38.69,3.68,249.4,1.84,1.43
execl,139699654080,49683807,112404604174,62436758119,441631796,4053,47072456,38.69,3.68,249.44,1.84,1.43
execl,143893193642,51071280,115846435391,64362647393,455227750,4144,48577580,38.69,3.68,249.47,1.84,1.43
execl,148154228347,52478469,119416917212,66350252971,469325445,4232,50080179,38.7,3.68,249.52,1.84,1.43
execl,152420747515,53698669,122999582718,68340876386,483336129,4299,51667099,38.7,3.68,249.57,1.84,1.43
execl,156682234128,55137810,126562283355,70329487523,497265265,4507,53166344,38.7,3.68,249.64,1.84,1.43
execl,160873710335,56788518,130034691953,72237410945,510923424,4611,54621444,38.7,3.68,249.67,1.84,1.43
execl,164860518580,58155565,133614672753,74235868702,524833306,4698,56131918,38.7,3.68,249.64,1.84,1.43
